Wavelength,Count
350,-2.75
351,-0.21
352,0.48
353,-0.93
354,3.42
355,-0.25
356,3.01
357,-1.13
358,-0.99
359,4.12
360,-0.1
361,3.1
362,5.74
363,6.07
364,6.11
365,3.73
366,3.3
367,6.23
368,3.53
369,0.8
370,1.7
371,2.6
372,3.03
373,2.31
374,1.35
375,5.89
376,2.45
377,0.96
378,1.43
379,4.08
380,-0.69
381,4.07
382,5.06
383,4.27
384,3.33
385,3.94
386,3.96
387,1.6
388,0.38
389,5.07
390,1.73
391,0.41
392,2.12
393,4.98
394,1.33
395,3.15
396,1.6
397,7.08
398,4.34
399,1.93
400,2.74
401,2.02
402,1.96
403,4.21
404,4.14
405,7.74
406,4.5
407,3.76
408,6.46
409,6.41
410,4.39
411,2.85
412,4.49
413,3.96
414,2.27
415,1.26
416,1.45
417,4.7
418,4.28
419,4.05
420,3.93
421,3.49
422,2.11
423,4.94
424,2.22
425,5.96
426,6.05
427,6.51
428,7.21
429,2.44
430,4.82
431,3.97
432,8.83
433,3.73
434,4.16
435,3.63
436,1.8
437,2.96
438,4.13
439,4.45
440,2.43
441,4.25
442,4.6
443,2.68
444,6.78
445,3.25
446,2.62
447,0.95
448,5.23
449,2.82
450,3.32
451,2.14
452,3.49
453,5.44
454,3.69
455,4.45
456,4.45
457,3.47
458,8.07
459,5.75
460,6.14
461,0.3
462,4.05
463,4.95
464,4.09
465,2.06
466,2.71
467,4.61
468,3.86
469,6.26
470,4.4
471,5.63
472,6.05
473,2.78
474,6.43
475,7.26
476,5.03
477,1.95
478,3.58
479,5.54
480,6
481,8.39
482,6.73
483,4.15
484,5.1
485,4.56
486,5.84
487,7.03
488,8.85
489,9.61
490,7.75
491,9.29
492,7.54
493,8.76
494,9.17
495,10.95
496,7.24
497,7.61
498,10.08
499,7.45
500,9.69
501,8.3
502,10.21
503,13.57
504,7.57
505,11.15
506,10.17
507,9.88
508,12.33
509,10.8
510,12.61
511,10.11
512,15.87
513,13.48
514,11.6
515,13.08
516,13.18
517,14.28
518,14.98
519,13.06
520,13.8
521,15.95
522,23.06
